SJBXX01,SJBXX02,PYM,SZM,WBM
A00.000,霍乱，由于O1群霍乱弧菌，霍乱生物型所致,HLYYO1QHLHJHLSWXSZ,1321O1513511333131,FTMGO1VFTXAFTTTGRG
A00.100,霍乱，由于O1群霍乱弧菌，埃尔托生物型所致,HLYYO1QHLHJAETSWXSZ,1321O15135113133131,FTMGO1VFTXAFQRTTGRG
A00.900,霍乱,HL,13,FT
A01.000,伤寒,SH,34,WP
A01.001+K77.0*,伤寒性肝炎,SHXGY,34234,WPNEO
A01.002+G01*,伤寒性脑膜炎,SHXNMY,342334,WPNEEO
A01.003,伤寒杆菌性败血症,SHGJXBXZ,34112234,WPSANMTU
A01.100,副伤寒甲,FSHJ,1342,GWPL
A01.200,副伤寒乙,FSHY,1345,GWPN
A01.300,副伤寒丙,FSHB,1341,GWPG
A01.400,副伤寒,FSH,134,GWP
A02.000,沙门菌肠炎,SMJCY,44134,IUAEO
A02.001,阿哥拉沙门菌肠炎,AGLSMJCY,51144134,BSRIUAEO
A02.002,沙门菌伦敦血清型肠炎,SMJLDXQXCY,4413434134,IUAWYTIGEO
A02.003,沙门菌胃肠炎,SMJWCY,441234,IUALEO
A02.004,鼠伤寒沙门菌肠炎,SSHSMJCY,53444134,VWPIUAEO
A02.100,沙门菌败血症,SMJBXZ,441234,IUAMTU
A02.101,猪霍乱沙门菌败血症,ZHLSMJBXZ,313441234,QFTIUAMTU
A02.200,局限性沙门菌感染,JXXSMJGR,55244114,NBNIUADI
A02.201+J17.0*,沙门菌肺炎,SMJFY,44134,IUAEO
A02.202+M01.3*,沙门菌关节炎,SMJGJY,441414,IUAUAO
A02.203+G01*,沙门菌脑膜炎,SMJNMY,441334,IUAEEO
A02.800,沙门菌感染，其他特指的,SMJGRQTTZD,4411413313,IUADIAWTRR
A02.900,沙门菌感染,SMJGR,44114,IUADI
A02.901,猪霍乱沙门菌感染,ZHLSMJGR,31344114,QFTIUADI
A03.000,志贺痢疾杆菌引起的细菌性痢疾,ZHLJGJYQDXJXLJ,12441151351244,FLUUSAXFRXANUU
A03.100,弗氏志贺菌引起的细菌性痢疾,FSZHJYQDXJXLJ,5312151351244,XQFLAXFRXANUU
A03.200,波氏志贺菌引起的细菌性痢疾,BSZHJYQDXJXLJ,4312151351244,IQFLAXFRXANUU
A03.300,宋内志贺菌引起的细菌性痢疾,SNZHJYQDXJXLJ,4212151351244,PMFLAXFRXANUU
A03.800,细菌性痢疾，其他的,XJXLJQTD,51244133,XANUUAWR
A03.900,细菌性痢疾,XJXLJ,51244,XANUU
A03.901,急性细菌性痢疾,JXXJXLJ,3251244,QNXANUU
A03.902,慢性迁延型细菌性痢疾,MXQYXXJXLJ,5233151244,NNTTGXANUU
A03.903,慢性细菌性痢疾,MXXJXLJ,5251244,NNXANUU
A03.904,中毒型细菌性痢疾,ZDXXJXLJ,21151244,KGGXANUU
A04.000,肠道病原性大肠杆菌感染,CDBYXDCGJGR,34412131114,EUUDNDESADI
A04.100,肠毒性大肠杆菌感染,CDXDCGJGR,312131114,EGNDESADI
A04.200,肠侵袭性大肠杆菌感染,CQXXDCGJGR,3312131114,EWDNDESADI
A04.300,肠出血性大肠杆菌感染,CCXXDCGJGR,3532131114,EBTNDESADI
A04.301,新生儿肠出血性大肠杆菌肠炎,XSECCXXDCGJCY,4333532131134,UTQEBTNDESAEO
A04.400,肠道大肠杆菌感染，其他的,CDDCGJGRQTD,34131114133,EUDESADIAWR
A04.401,大肠杆菌性肠炎,DCGJXCY,1311234,DESANEO
A04.402,新生儿大肠杆菌肠炎,XSEDCGJCY,433131134,UTQDESAEO
A04.500,弯曲菌肠炎,WQJCY,42134,YMAEO
A04.600,小肠结肠耶尔森菌性小肠炎,XCJCYESJXXCY,235353112234,IEXEBQSANIEO
A04.700,艰难梭状芽孢杆菌性小肠结肠炎,JNSZYBGJXXCJCY,55141511223534,CCSUABSANIEXEO
A04.800,细菌性肠道感染，其他特指的,XJXCDGRQTTZD,512341413313,XANEUDIAWTRR
A04.801,变形杆菌肠炎,BXGJCY,411134,YGSAEO
A04.802,铜绿假单胞菌肠炎,TLJDBJCY,35343134,QXWUEAEO
A04.803,厌氧菌肠炎,YYJCY,13134,DRAEO
A04.900,细菌性肠道感染,XJXCDGR,5123414,XANEUDI
A04.901,细菌性结肠炎,XJXJCY,512534,XANXEO
A04.902,细菌性腹泻,XJXFX,51234,XANEI
A05.000,食物媒介的葡萄球菌性食物中毒,SWMJDPTQJXSWZD,33533111123321,WTVWRAAGANWTKG
A05.100,肉毒中毒,RDZD,2121,MGKG
A05.200,食物媒介的产气荚膜梭状芽孢杆菌［韦尔希梭状芽孢杆菌］食物中毒,SWMJDCQJMSZYBGJWEXSZ,33533431314151113314,WTVWRURAESUABSAFQQSU
A05.202,急性坏死性肠炎,JXHSXCY,3211234,QNFGNEO
A05.300,食物媒介的副溶血性弧菌食物中毒,SWMJDFRXXHJSWZD,335331432513321,WTVWRGITNXAWTKG
A05.400,食物媒介的蜡样芽孢杆菌食物中毒,SWMJDLYYBGJSWZD,335332115113321,WTVWRJSABSAWTKG
A05.800,食物中毒，其他特指的细菌性,SWZDQTTZDXJX,332113313512,WTKGAWTRRXAN
A05.900,细菌性食物中毒,XJXSWZD,5123321,XANWTKG
A06.000,急性阿米巴痢疾,JXAMBLJ,3254544,QNBOCUU
A06.001,阿米巴结肠炎,AMBJCY,545534,BOCXEO
A06.002,阿米巴痢疾,AMBLJ,54544,BOCUU
